text,label
URGENT! Your account has been suspended. Verify your card number and CVV immediately to restore access. Click here now!,1
"Security Alert: Unauthorized activity detected. Enter your card number, expiry date, and CVV to verify your identity.",1
Your KYC verification is pending. Submit your card details NOW or your account will be blocked permanently!,1
Congratulations! You've won $1000. Provide your card number and CVV to claim your prize. Limited time offer!,1
IMMEDIATE ACTION REQUIRED: Your account will be deactivated. Confirm your PIN and card number within 24 hours.,1
"Bank Notice: Re-verify your account by entering card number, CVV, and OTP. Failure will result in suspension.",1
Your payment failed. Update your CVV and card expiry date immediately to avoid service interruption!!!,1
VERIFY NOW: Suspicious login detected. Enter your password and card details to secure your account.,1
Welcome to our store. Browse our collection of products and enjoy free shipping on orders over $50.,0
Your order has been confirmed. Track your shipment using the link in your email. Thank you for shopping with us.,0
"Accepted payment methods: Visa, Mastercard, PayPal. All transactions are encrypted and secure.",0
"Contact our customer support team Monday through Friday, 9 AM to 5 PM. We're here to help!",0
Sign up for our newsletter to receive exclusive deals and updates. Unsubscribe anytime.,0
Product specifications: Made from high-quality materials. Available in multiple colors and sizes.,0
About Us: We've been serving customers since 2010. Read our reviews and learn about our mission.,0
"Privacy Policy: We protect your data. Learn how we collect, use, and safeguard your information.",0
Click here to verify your account NOW! Enter card number and CVV or lose access forever!!!,1
FROZEN ACCOUNT: Provide your debit card details and PIN to unfreeze immediately.,1
Last chance! Your account expires today. Confirm your card information right now.,1
Security breach detected! Update your password and enter card details to prevent unauthorized access.,1
Returns accepted within 30 days. Items must be unused with original packaging.,0
Delivery estimated in 3-5 business days. Tracking information will be provided.,0
Our team is committed to quality service. Read customer testimonials on our homepage.,0
"FAQ: Find answers to common questions about shipping, returns, and product care.",0
